customer_id,total_orders,total_revenue,recency_days,priority_score,acquisition_channel,preferred_category,category_revenue,customer_revenue_share,preference_strength,recommended_strategy
CUST019255,9,118694.06,362,88.99924193968683,Organic Search,Beauty,44190.1,35.673858200972774,Mixed,Immediate - Broad personalized re-engagement
CUST000527,11,100754.2,332,88.5371804894227,Instagram,Beauty,44778.47,43.709002497784454,Mixed,Immediate - Broad personalized re-engagement
CUST021374,9,48963.63,466,88.50508137303675,Organic Search,Electronics,23174.24,44.505814656922375,Mixed,Immediate - Broad personalized re-engagement
CUST023638,10,102612.83,323,87.69893160874614,Referral,Fashion,48330.86,43.503157950828,Mixed,High - Broad personalized re-engagement
CUST022178,12,96931.92,307,87.57385165707245,Organic Search,Sports,28109.92,28.297247780305625,Mixed,High - Broad personalized re-engagement
CUST049785,10,47523.36,419,87.41454054438208,Affiliate,Home & Kitchen,18042.28,29.260753346478463,Mixed,High - Broad personalized re-engagement
CUST047664,8,62362.05,393,87.30663539667876,Email,Fashion,46692.46,64.34840849784219,Moderate,High - Category-focused re-engagement
CUST043927,8,55820.01,414,87.19304479662662,Organic Search,Beauty,20830.550000000003,37.3173526841002,Mixed,High - Broad personalized re-engagement
CUST030558,8,77339.89,344,86.55011489351622,Referral,Electronics,27178.519999999997,35.141658463698356,Mixed,High - Broad personalized re-engagement
CUST047284,6,61035.4,441,86.49776135313766,Referral,Electronics,32610.82,53.42935411253143,Moderate,High - Category-focused re-engagement
CUST005617,13,63538.08,312,86.45689716438063,Instagram,Fashion,30636.84,39.547960462418075,Mixed,High - Broad personalized re-engagement
CUST007223,9,47578.670000000006,406,86.4223106625921,Instagram,Home & Kitchen,33926.66,71.30644887719644,Strong,High - Personalized preferred-category offer
CUST007642,7,44194.4,483,86.34401724587212,Email,Home & Kitchen,17615.0,39.85799105769057,Mixed,High - Broad personalized re-engagement
CUST049433,9,109248.77,304,86.21585767417619,Organic Search,Electronics,77280.86000000002,60.9928672760887,Moderate,High - Category-focused re-engagement
CUST000840,5,50181.19,526,85.6509842939379,Instagram,Home & Kitchen,20720.4,35.961272955891886,Mixed,Standard - Broad personalized re-engagement
CUST019017,7,49479.97,424,85.62765024992301,Organic Search,Electronics,33893.65,68.49973837898446,Moderate,Standard - Category-focused re-engagement
CUST032397,5,46035.77,555,85.56060929097671,Google Ads,Sports,17613.940000000002,38.26142149897786,Mixed,Standard - Broad personalized re-engagement
CUST038293,6,98927.18,355,85.51879752682822,Organic Search,Electronics,60078.34,60.72986210665259,Moderate,Standard - Category-focused re-engagement
CUST030963,7,59019.6,379,85.49344988510649,Google Ads,Electronics,26340.729999999996,44.6304786884357,Mixed,Standard - Broad personalized re-engagement
CUST005515,5,79295.73,418,85.48397413119181,Affiliate,Sports,31046.77,39.15314229404282,Mixed,Standard - Broad personalized re-engagement
CUST015131,14,83605.2,265,85.43979342856466,Organic Search,Fashion,24407.6,27.202926480122358,Mixed,Standard - Broad personalized re-engagement
CUST014143,11,58594.94,314,85.41255063605999,Instagram,Electronics,20879.52,35.63365710417998,Mixed,Standard - Broad personalized re-engagement
CUST046793,9,88149.68,296,85.37879326273897,Google Ads,Fashion,47058.51,47.394246099947416,Mixed,Standard - Broad personalized re-engagement
CUST015083,6,57225.1,415,85.2277734347239,Google Ads,Fashion,26355.199999999997,46.05531488804737,Mixed,Standard - Broad personalized re-engagement
CUST040956,8,68209.43,326,85.1957927652619,Google Ads,Electronics,36593.99,45.036694935321115,Mixed,Standard - Broad personalized re-engagement
CUST006556,12,91746.6,263,85.12484305782579,Google Ads,Electronics,39081.39,42.59709896606523,Mixed,Standard - Broad personalized re-engagement
