customer_id,last_order_date,total_orders,total_revenue,recency_days,recency_segment,revenue_percentile,recency_risk_score,value_score,frequency_score,priority_score,priority_segment
CUST019255,2025-01-02,9,118694.06,362,Inactive,0.9933432828749438,83.25752730201597,99.33432828749437,87.85089901215265,88.99924193968683,Critical Priority
CUST000527,2025-02-01,11,100754.20000000001,332,Inactive,0.9859995735910738,80.70736502973018,98.59995735910738,93.01755383412693,88.5371804894227,Critical Priority
CUST021374,2024-09-20,9,48963.63,466,Inactive,0.8647809916376472,89.9829436429536,86.47809916376472,87.85089901215265,88.50508137303675,Critical Priority
CUST023638,2025-02-10,10,102612.83,323,Inactive,0.987160353445621,79.86994527752115,98.7160353445621,90.7457418330846,87.69893160874614,Critical Priority
CUST022178,2025-02-26,12,96931.92,307,Inactive,0.9833937412645394,78.23537772724042,98.33937412645393,94.77175277758036,87.57385165707245,Critical Priority
CUST049785,2024-11-06,10,47523.36,419,Inactive,0.8568450477341103,87.12008149148367,85.68450477341104,90.7457418330846,87.41454054438208,Critical Priority
CUST047664,2024-12-02,8,62362.049999999996,393,Inactive,0.924880960841447,85.47248477957028,92.4880960841447,84.11982090825101,87.30663539667876,Critical Priority
CUST043927,2024-11-11,8,55820.01,414,Inactive,0.8990832208087556,86.79316798142752,89.90832208087556,84.11982090825101,87.19304479662662,Critical Priority
CUST030558,2025-01-20,8,77339.89,344,Inactive,0.961196787719423,81.78049416056665,96.11967877194229,84.11982090825101,86.55011489351622,Critical Priority
CUST047284,2024-10-15,6,61035.4,441,Inactive,0.9202378414232583,88.52012413237628,92.02378414232582,73.15282022125885,86.49776135313766,Critical Priority
CUST005617,2025-02-21,13,63538.08,312,Inactive,0.9292634970269822,78.73522374623931,92.92634970269822,96.0569019022576,86.45689716438063,Critical Priority
CUST007223,2024-11-19,9,47578.670000000006,406,Inactive,0.8572240778906972,86.27081704688129,85.72240778906972,87.85089901215265,86.4223106625921,Critical Priority
CUST007642,2024-09-03,7,44194.4,483,Inactive,0.835666737734821,90.81799445668396,83.56667377348211,79.32508942742757,86.34401724587212,Critical Priority
CUST049433,2025-03-01,9,109248.76999999999,304,Inactive,0.9900504583895956,77.8883282401156,99.00504583895956,87.85089901215265,86.21585767417619,Critical Priority
CUST000840,2024-07-22,5,50181.189999999995,526,Inactive,0.8711297467604766,92.97491294151091,87.11297467604766,65.14817710184066,85.6509842939379,Critical Priority
CUST019017,2024-11-01,7,49479.97,424,Inactive,0.8672209982706749,87.49200483263449,86.7220998270675,79.32508942742757,85.62765024992301,Critical Priority
CUST032397,2024-06-23,5,46035.770000000004,555,Inactive,0.8477246345912397,94.19846966574278,84.77246345912397,65.14817710184066,85.56060929097671,Critical Priority
CUST038293,2025-01-09,6,98927.18000000001,355,Inactive,0.9847914149669533,82.68898206713573,98.47914149669533,73.15282022125885,85.51879752682822,Critical Priority
CUST030963,2024-12-16,7,59019.6,379,Inactive,0.9128704427546016,84.48463743396584,91.28704427546016,79.32508942742757,85.49344988510649,Critical Priority
CUST005515,2024-11-07,5,79295.73,418,Inactive,0.9642290289721176,87.0549356833203,96.42290289721176,65.14817710184066,85.48397413119181,Critical Priority
CUST015131,2025-04-09,14,83605.2,265,At Risk,0.9701039963992135,73.85165707246583,97.01039963992135,97.0542250017767,85.43979342856466,Critical Priority
CUST014143,2025-02-19,11,58594.94,314,Inactive,0.9112595645891076,78.94250586312273,91.12595645891076,93.01755383412693,85.41255063605999,Critical Priority
CUST046793,2025-03-09,9,88149.68,296,Inactive,0.975789448748016,77.06985999573591,97.57894487480159,87.85089901215265,85.37879326273897,Critical Priority
CUST015083,2024-11-10,6,57225.1,415,Inactive,0.9053845971620117,86.87134295122355,90.53845971620117,73.15282022125885,85.2277734347239,Critical Priority
CUST040956,2025-02-07,8,68209.43,326,Inactive,0.9429796508184682,80.16487811811527,94.29796508184683,84.11982090825101,85.1957927652619,Critical Priority
CUST006556,2025-04-11,12,91746.6,263,At Risk,0.9791059626181509,73.59462724753038,97.91059626181509,94.77175277758036,85.12484305782579,Critical Priority
